"league_id","pixel_prod_num","center_number","name","start_date","end_date","lineage_cost","centaman_league_number","day_of_week","cover","gl_account"
"1D3233C9-D75D-4456-AF48-38F2BB49BD4C","","801","5203-Life University","10/11/2018 0:00","01/24/2019 0:00","5","5203","4","3","4115"
"1DF47EF5-96BD-44F1-8506-42F7221AE38A","","815","5300-Merchants Z/Northwest Sub","08/22/2018 0:00","04/03/2019 0:00","10","5300","3","3","4115"
"1F3E4D45-EBFF-42C0-8155-2E42085F661F","","829","5206-Overland 3A Miller","10/23/2018 0:00","12/18/2018 0:00","5","5206","1","2","4125"
"1F3E4D45-EBFF-42C0-8155-2E42085F661F","","829","5206-Overland 3A Miller","10/23/2018 0:00","12/18/2018 0:00","5","5206","2","2","4125"
"1F3E4D45-EBFF-42C0-8155-2E42085F661F","","829","5206-Overland 3A Miller","10/23/2018 0:00","12/18/2018 0:00","5","5206","3","2","4125"
"1F3E4D45-EBFF-42C0-8155-2E42085F661F","","829","5206-Overland 3A Miller","10/23/2018 0:00","12/18/2018 0:00","5","5206","4","2","4125"
"1F3E4D45-EBFF-42C0-8155-2E42085F661F","","829","5206-Overland 3A Miller","10/23/2018 0:00","12/18/2018 0:00","5","5206","5","2","4125"
"1F84833D-4D9C-44B4-A647-45B0852E35D2","","65","5306-Pins and Pitchers","09/10/2018 0:00","12/31/2018 0:00","9.35","5306","1","3","4115"
"200F0FF4-B9B5-4951-90EB-4BA379AED106","","819","7741-Twin Cities Challenge","10/28/2018 0:00","12/09/2018 0:00","0.01","9997741","8","4","4140"
"209A4EF0-6960-4BF9-B390-66AE2AF13E7D","","287","5101-Fairport HS 2018/19","10/22/2018 0:00","02/28/2019 0:00","1.95","5101","1","1","4115"
"209A4EF0-6960-4BF9-B390-66AE2AF13E7D","","287","5101-Fairport HS 2018/19","10/22/2018 0:00","02/28/2019 0:00","1.95","5101","2","1","4115"
"209A4EF0-6960-4BF9-B390-66AE2AF13E7D","","287","5101-Fairport HS 2018/19","10/22/2018 0:00","02/28/2019 0:00","1.95","5101","3","1","4115"
"209A4EF0-6960-4BF9-B390-66AE2AF13E7D","","287","5101-Fairport HS 2018/19","10/22/2018 0:00","02/28/2019 0:00","1.95","5101","4","1","4115"
"20E78401-BD61-453E-8C77-6C12A84FFF23","","852","5111-Bishop Ahr High School GM","10/29/2018 0:00","04/12/2019 0:00","3.2","5111","1","1","4125"
"20E78401-BD61-453E-8C77-6C12A84FFF23","","852","5111-Bishop Ahr High School GM","10/29/2018 0:00","04/12/2019 0:00","3.2","5111","2","1","4125"
"20E78401-BD61-453E-8C77-6C12A84FFF23","","852","5111-Bishop Ahr High School GM","10/29/2018 0:00","04/12/2019 0:00","3.2","5111","3","1","4125"
"20E78401-BD61-453E-8C77-6C12A84FFF23","","852","5111-Bishop Ahr High School GM","10/29/2018 0:00","04/12/2019 0:00","3.2","5111","4","1","4125"
"20E78401-BD61-453E-8C77-6C12A84FFF23","","852","5111-Bishop Ahr High School GM","10/29/2018 0:00","04/12/2019 0:00","3.2","5111","5","1","4125"
"2129D4C1-B6E8-4689-B0C1-6480E5215538","","847","5309-Alpine Seniors","08/22/2018 0:00","05/15/2019 0:00","9.75","5309","3","3","4130"
"217E5406-7F7E-47AA-8111-7B49DC4132EE","","844","5103-ALL STAR VARSITY YOUTH LE","08/11/2018 0:00","06/01/2019 0:00","10","5103","6","3","4125"
"21DD48CA-4446-46BB-BE1A-0CA8CF0F4875","","855","5303-The Villagers","09/12/2018 0:00","11/28/2018 0:00","5","5303","3","3","4130"
"2204645C-060F-430C-A97B-17EB4CFC9456","","886","7691-Interstate TravLg 11-10-1","10/27/2018 0:00","12/01/2018 0:00","10","9997691","8","4","4140"
"221DDAF1-2C22-48A5-BFD9-5486E7B2DF3C","","89","5602-Mansfield ISD Allstars II","10/27/2018 0:00","02/09/2019 0:00","5","5602","6","3","4125"
"23DB0969-09B5-495D-B4FC-8E8FA90315C1","","415","5405-High School Match","10/18/2018 0:00","03/13/2019 0:00","1.75","5405","1","1","4125"
"23DB0969-09B5-495D-B4FC-8E8FA90315C1","","415","5405-High School Match","10/18/2018 0:00","03/13/2019 0:00","1.75","5405","2","1","4125"
"23DB0969-09B5-495D-B4FC-8E8FA90315C1","","415","5405-High School Match","10/18/2018 0:00","03/13/2019 0:00","1.75","5405","3","1","4125"
"23DB0969-09B5-495D-B4FC-8E8FA90315C1","","415","5405-High School Match","10/18/2018 0:00","03/13/2019 0:00","1.75","5405","4","1","4125"
"23DB0969-09B5-495D-B4FC-8E8FA90315C1","","415","5405-High School Match","10/18/2018 0:00","03/13/2019 0:00","1.75","5405","5","1","4125"
"2432FB56-7F09-4577-9EB2-3920188C2616","","833","7747-Rky Mtn Sr. Tourn","10/21/2018 0:00","11/25/2018 0:00","2.25","9997747","8","1","4140"
"243638BC-33E0-49E3-8A16-B37A7CAA5442","","815","9600-High 5 Jersey League","10/27/2018 0:00","01/26/2019 0:00","15","9600","6","3","4125"
"24611C51-D947-4FEB-B212-1389478C9D65","","852","9501-High 5 Jersey League","11/23/2018 0:00","02/22/2019 0:00","15","9501","5","3","4125"
"2466D048-C13D-47A7-87AD-74F0EB94A02A","","242","5203-Oyster Bay High School","10/30/2018 0:00","02/05/2019 0:00","3.75","5203","2","1","4115"
"2466D048-C13D-47A7-87AD-74F0EB94A02A","","242","5203-Oyster Bay High School","10/30/2018 0:00","02/05/2019 0:00","3.75","5203","3","1","4115"
"249502B6-0CED-42BE-8E66-E361FD64752E","","516","7303-Senior Travel","09/12/2018 0:00","03/27/2019 0:00","7.5","9997303","8","3","4140"
"24E8E222-82F0-47C4-880F-50645B06CFDB","","836","5100-HIT THE JACKPOT","08/27/2018 0:00","12/31/2018 0:00","7","5100","1","3","4115"
"26D650B4-C64D-44B6-ABC8-AB92ADB44DA7","","513","5401-Cocktail","08/23/2018 0:00","04/11/2019 0:00","12","5401","4","3","4115"
"2710E9E7-8A07-4B9C-883B-35D5C888F3AA","","844","5307-PLEASANT MANOR","08/15/2018 0:00","04/17/2019 0:00","12.25","5307","3","3","4115"
"278FCE0A-7970-4627-8ECD-516AC91FD64E","","207","5703-Sunday Friends","09/30/2018 0:00","05/12/2019 0:00","10","5703","7","3","4115"
